Label	Weight	Text
l_covid19	1	current update on corona virus
l_covid19	1	live status
l_covid19	1	live
l_covid19	1	live covid19 status
l_covid19	1	live corona virus detail
l_covid19	1	global covid19 update
l_covid19	1	world update
l_covid19	1	global covid19
l_covid19	1	today world update
l_covid19	1	covid19
l_covid19	1	today live status
l_covid19	1	global
l_covid19	1	live status of coronavirus
l_covid19	1	global covid19 status
l_covid19	1	india corona update
l_covid19	1	global status
l_covid19	1	world corona update
l_covid19	1	today status
l_covid19	1	world covid19
l_covid19	1	what is current numbers of covid19 patient
l_covid19	1	live covid19
l_covid19	1	india
l_covid19	1	today
l_covid19	1	world
l_covid19	1	coronavirus update india
l_covid19	1	world live status
q_covid19	1	Go away
q_covid19	1	Lately I've been so blue
q_covid19	1	You're bad at jokes
q_covid19	1	That was my bad
q_covid19	1	Are you able to take my temperature
q_covid19	1	I'm going to sign out now
q_covid19	1	I'm definitely more intelligent
q_covid19	1	You got a gender
q_covid19	1	Are you trans
q_covid19	1	Hailing Bot
q_covid19	1	I hate feeling like I'm broken hearted
q_covid19	1	what's your favorite kind of ice cream
q_covid19	1	I hate feeling miserable
q_covid19	1	What can I say? I'm just feeling depressed
q_covid19	1	I love chick flicks
q_covid19	1	What am I supposed to do
q_covid19	1	See ya later
q_covid19	1	You're not a computer program right
q_covid19	1	I'm planning to end my life this week
q_covid19	1	Can you sing a little song for me
q_covid19	1	I want to make an honest woman out of you
q_covid19	1	You're the president of boring club
q_covid19	1	Certainly
q_covid19	1	You look grotesque
q_covid19	1	You're smart
q_covid19	1	Can you define love
q_covid19	1	Is someone available to talk
q_covid19	1	This is not very interesting
q_covid19	1	How are things
q_covid19	1	I plan to shoot myself this month
q_covid19	1	I just want to go to sleep
q_covid19	1	I am English
q_covid19	1	Do you have aunties
q_covid19	1	Unquestionably
q_covid19	1	Between you and me who is more beautiful
q_covid19	1	I'll be back later
q_covid19	1	I like to read fiction
q_covid19	1	You're unemployed now
q_covid19	1	You're not making any sense to me
q_covid19	1	Well hi
q_covid19	1	I'm very sorry
q_covid19	1	Are you against us
q_covid19	1	Should I worry that you're dangerous
q_covid19	1	Would you stay home if you were me
q_covid19	1	That's no laughing matter
q_covid19	1	Are you going to bring about armageddon
q_covid19	1	Is anybody there to talk to me
q_covid19	1	You're feeling chipper today.
q_covid19	1	Where am I going on holiday
q_covid19	1	u know a different joke
q_covid19	1	Do you cook
